cus_ID,cus_first_name,cus_last_name,cus_age,cus_gender,cus_phone,cus_DOB,cus_email,cus_loyalty_tier,cus_address_line,cus_city,cus_state,cus_postcode,cus_reg_date
21830,Farah,binti Hassan,27,Female,018-2554475,1996-06-23,farah21830@gmail.com,Bronze,"No. 70, Jalan D7",Johor Bahru,Johor,80300,2024-01-05
21831,Ling Ling,Tan,54,Female,012-1555710,1969-10-11,ling21831@gmail.com,Silver,"No. 8, Jalan B19",Johor Bahru,Johor,81300,2024-01-05
21832,Nabila,binti Hassan,26,Female,016-9322394,1997-08-02,nabila21832@gmail.com,Bronze,"No. 173, Jalan A3",Shah Alam,Selangor,40100,2024-01-05
21833,Rachel,Ong,37,Female,010-1637940,1986-04-16,rachel21833@gmail.com,Bronze,"No. 147, Jalan F17",Klang,Selangor,41250,2024-01-05
21834,Hui Min,Loh,59,Female,013-9633336,1964-02-07,hui21834@gmail.com,Bronze,"No. 76, Jalan G11",Puchong,Selangor,47180,2024-01-05
21835,Xin Yi,Ng,25,Female,018-6539940,1998-11-21,xin21835@gmail.com,Bronze,"No. 99, Jalan E18",Klang,Selangor,41100,2024-01-05
21836,Hannah,binti Hamid,36,Female,018-2182883,1987-09-19,hannah21836@gmail.com,Platinum,"No. 126, Jalan B10",Selayang,Selangor,68100,2024-01-05
21837,Izzati,binti Ismail,55,Female,019-6478453,1968-09-28,izzati21837@gmail.com,Bronze,"No. 221, Jalan F2",Selayang,Selangor,68000,2024-01-05
21838,Fatimah,binti Ismail,54,Female,017-7230994,1969-11-29,fatimah21838@gmail.com,Silver,"No. 260, Jalan D4",Setapak,Wilayah Persekutuan,53300,2024-01-05
21839,Vanessa,Liew,35,Female,016-8809589,1988-05-01,vanessa21839@gmail.com,Gold,"No. 34, Jalan E12",Setapak,Wilayah Persekutuan,53100,2024-01-05
21840,Suhaila,binti Zainal,40,Female,010-3933233,1983-09-11,suhaila21840@gmail.com,Bronze,"No. 280, Jalan B19",Ipoh,Perak,30250,2024-01-05
21841,Amirul,bin Hamid,42,Male,018-3958889,1981-10-11,amirul21841@gmail.com,Bronze,"No. 279, Jalan E13",Petaling Jaya,Selangor,47301,2024-01-06
21842,Meena,a/p Maniam,36,Female,012-6760475,1987-07-04,meena21842@gmail.com,Bronze,"No. 44, Jalan B11",Petaling Jaya,Selangor,47400,2024-01-06
21843,Hannah,binti Zainal,32,Female,011-9105822,1992-01-01,hannah21843@gmail.com,Silver,"No. 4, Jalan E5",Johor Bahru,Johor,80200,2024-01-06
21844,Kai Xin,Chong,29,Female,016-8669731,1994-04-06,kai21844@gmail.com,Silver,"No. 6, Jalan E19",George Town,Pulau Pinang,10200,2024-01-06
21845,Nur Aina,binti Razak,40,Female,012-2916113,1983-09-13,nur21845@gmail.com,Bronze,"No. 298, Jalan C18",Melaka,Melaka,75250,2024-01-06
21846,Rachel,Ong,36,Female,012-6391857,1987-02-05,rachel21846@gmail.com,Gold,"No. 297, Jalan G4",Wangsa Maju,Wilayah Persekutuan,53300,2024-01-06
21847,Deepa,a/p Rajan,52,Female,015-5584346,1971-07-05,deepa21847@gmail.com,Silver,"No. 121, Jalan C17",Shah Alam,Selangor,40170,2024-01-06
21848,Meena,a/p Maniam,53,Female,011-7469955,1970-05-23,meena21848@gmail.com,Bronze,"No. 17, Jalan G11",Selayang,Selangor,68000,2024-01-06
21849,Chong Wei,Khoo,27,Male,010-3238642,1996-10-03,chong21849@gmail.com,Platinum,"No. 108, Jalan A3",Selayang,Selangor,68100,2024-01-06
21850,Amirul,bin Razak,41,Male,019-1654871,1982-11-23,amirul21850@gmail.com,Bronze,"No. 3, Jalan D11",Puchong,Selangor,47170,2024-01-06
21851,Vanessa,Chan,54,Female,016-8171043,1969-10-11,vanessa21851@gmail.com,Bronze,"No. 156, Jalan G14",Kuala Lumpur,Wilayah Persekutuan,55200,2024-01-07
21852,Hui Min,Chan,37,Female,014-7735788,1986-02-06,hui21852@gmail.com,Bronze,"No. 249, Jalan B20",Kuala Lumpur,Wilayah Persekutuan,55100,2024-01-07
21853,Mei Ling,Loh,37,Female,019-1442161,1986-09-28,mei21853@gmail.com,Bronze,"No. 243, Jalan A6",Petaling Jaya,Selangor,47800,2024-01-07
21854,Aina,binti Rahman,56,Female,015-2791243,1967-12-17,aina21854@gmail.com,Platinum,"No. 108, Jalan G5",Petaling Jaya,Selangor,47300,2024-01-07
21855,Anisa,binti Osman,27,Female,019-7205666,1996-07-10,anisa21855@gmail.com,Bronze,"No. 139, Jalan D5",Melaka,Melaka,75200,2024-01-07
21856,Meena,a/p Krishnan,23,Female,015-1517824,2000-03-21,meena21856@gmail.com,Bronze,"No. 203, Jalan D17",Selayang,Selangor,68100,2024-01-07
21857,Deepa,a/p Krishnan,45,Female,019-3296332,1978-09-17,deepa21857@gmail.com,Silver,"No. 36, Jalan C7",Shah Alam,Selangor,40170,2024-01-07
21858,Emily,Foo,29,Female,014-2936905,1994-10-17,emily21858@gmail.com,Gold,"No. 136, Jalan G9",Wangsa Maju,Wilayah Persekutuan,53200,2024-01-07
21859,Meena,a/p Maniam,48,Female,018-1117716,1975-06-25,meena21859@gmail.com,Bronze,"No. 192, Jalan C5",Gombak,Wilayah Persekutuan,53000,2024-01-07
21860,Grace,Lee,19,Female,017-6277284,2004-10-16,grace21860@gmail.com,Silver,"No. 84, Jalan E11",Ipoh,Perak,30020,2024-01-07
21861,Rachel,Liew,51,Female,012-2585387,1972-09-23,rachel21861@gmail.com,Silver,"No. 124, Jalan F2",Johor Bahru,Johor,81200,2024-01-07
21862,Rachel,Chong,49,Female,019-1161049,1974-05-30,rachel21862@gmail.com,Silver,"No. 194, Jalan A3",Petaling Jaya,Selangor,46050,2024-01-08
21863,Faizal,bin Osman,34,Male,011-8623966,1989-04-02,faizal21863@gmail.com,Platinum,"No. 124, Jalan G19",Petaling Jaya,Selangor,46300,2024-01-08
21864,Ling Ling,Chua,30,Female,017-6521447,1993-04-28,ling21864@gmail.com,Gold,"No. 73, Jalan G20",George Town,Pulau Pinang,10150,2024-01-08
21865,Nurin,binti Hamid,25,Female,019-6705032,1998-09-05,nurin21865@gmail.com,Bronze,"No. 182, Jalan D9",Puchong,Selangor,47130,2024-01-08
21866,Kai Xin,Ng,60,Female,010-9163458,1963-09-25,kai21866@gmail.com,Bronze,"No. 111, Jalan A5",Shah Alam,Selangor,40200,2024-01-08
21867,Ling Ling,Sim,58,Female,011-2393843,1965-07-17,ling21867@gmail.com,Bronze,"No. 86, Jalan G18",Klang,Selangor,41150,2024-01-08
21868,Jasmine,Ng,29,Female,010-1138570,1994-03-21,jasmine21868@gmail.com,Silver,"No. 57, Jalan E16",Ipoh,Perak,30250,2024-01-08
21869,Balqis,binti Zainal,53,Female,011-6495278,1970-04-22,balqis21869@gmail.com,Bronze,"No. 86, Jalan D9",Petaling Jaya,Selangor,47301,2024-01-09
21870,Adam,bin Ahmad,20,Male,013-7755888,2003-12-18,adam21870@gmail.com,Silver,"No. 227, Jalan G18",Petaling Jaya,Selangor,47300,2024-01-09
21871,Yasmin,binti Osman,29,Female,019-2280653,1994-10-07,yasmin21871@gmail.com,Bronze,"No. 2, Jalan D12",Johor Bahru,Johor,80200,2024-01-09
21872,Shu Fen,Yeoh,49,Female,010-7831196,1974-02-09,shu21872@gmail.com,Bronze,"No. 142, Jalan C2",Selayang,Selangor,68000,2024-01-09
21873,Nabila,binti Hassan,50,Female,016-5291201,1973-03-23,nabila21873@gmail.com,Bronze,"No. 19, Jalan C19",Ipoh,Perak,30020,2024-01-09
21874,Balqis,binti Ahmad,32,Female,017-7384026,1991-10-26,balqis21874@gmail.com,Gold,"No. 202, Jalan F15",Kuala Lumpur,Wilayah Persekutuan,56000,2024-01-10
21875,Nurul Huda,binti Hamid,23,Female,013-5349802,2000-05-26,nurul21875@gmail.com,Silver,"No. 137, Jalan F7",Petaling Jaya,Selangor,47300,2024-01-10
21876,Anisa,binti Ismail,20,Female,015-5133708,2003-11-11,anisa21876@gmail.com,Gold,"No. 25, Jalan F13",George Town,Pulau Pinang,10250,2024-01-10
21877,Aina,binti Ismail,59,Female,011-2434158,1964-03-13,aina21877@gmail.com,Gold,"No. 244, Jalan F9",George Town,Pulau Pinang,10300,2024-01-10
21878,Amelia,binti Zainal,58,Female,014-3782257,1965-12-09,amelia21878@gmail.com,Gold,"No. 46, Jalan A8",Melaka,Melaka,75000,2024-01-10
21879,Aisyah,binti Ismail,19,Female,018-2826241,2004-11-06,aisyah21879@gmail.com,Bronze,"No. 104, Jalan D8",Klang,Selangor,41200,2024-01-10
21880,Yee Ling,Cheah,45,Female,018-2630626,1978-05-26,yee21880@gmail.com,Silver,"No. 187, Jalan F14",Puchong,Selangor,47130,2024-01-10
21881,Kai Xin,Cheah,55,Female,014-1555398,1968-03-17,kai21881@gmail.com,Gold,"No. 230, Jalan A11",Selayang,Selangor,68100,2024-01-10
21882,Aina,binti Abdullah,40,Female,010-2424641,1983-08-04,aina21882@gmail.com,Bronze,"No. 229, Jalan A2",Wangsa Maju,Wilayah Persekutuan,53300,2024-01-10
21883,Nadia,binti Ismail,38,Female,016-5548127,1985-04-30,nadia21883@gmail.com,Bronze,"No. 33, Jalan E1",Kuala Lumpur,Wilayah Persekutuan,59000,2024-01-11
21884,Yee Ling,Liew,51,Female,010-9675705,1972-03-31,yee21884@gmail.com,Bronze,"No. 81, Jalan A7",Petaling Jaya,Selangor,47300,2024-01-11
21885,Priya,a/p Krishnan,58,Female,013-9270768,1965-02-14,priya21885@gmail.com,Silver,"No. 297, Jalan A12",Melaka,Melaka,75350,2024-01-11
21886,Balqis,binti Osman,22,Female,016-7140056,2001-04-30,balqis21886@gmail.com,Platinum,"No. 291, Jalan E15",Shah Alam,Selangor,40450,2024-01-11
21887,Amelia,binti Rahman,30,Female,015-9151070,1993-02-09,amelia21887@gmail.com,Silver,"No. 155, Jalan A5",Wangsa Maju,Wilayah Persekutuan,53300,2024-01-11
21888,Wei Jie,Loh,23,Male,014-4734805,2000-10-22,wei21888@gmail.com,Bronze,"No. 175, Jalan F19",Shah Alam,Selangor,40160,2024-01-11
21889,Nurul Huda,binti Hamid,25,Female,015-2235549,1999-01-05,nurul21889@gmail.com,Silver,"No. 222, Jalan C3",Setapak,Wilayah Persekutuan,53000,2024-01-11
21890,Aiman,bin Osman,30,Male,011-9020700,1993-11-27,aiman21890@gmail.com,Bronze,"No. 273, Jalan F5",Wangsa Maju,Wilayah Persekutuan,53300,2024-01-11
21891,Shu Fen,Cheah,19,Female,012-5325506,2004-07-07,shu21891@gmail.com,Bronze,"No. 282, Jalan A17",Kuala Lumpur,Wilayah Persekutuan,56000,2024-01-12
21892,Mei Ling,Lim,34,Female,013-6228270,1989-08-26,mei21892@gmail.com,Bronze,"No. 121, Jalan G18",Petaling Jaya,Selangor,46100,2024-01-12
21893,Lakshmi,a/p Ramasamy,34,Female,019-5371861,1989-08-06,lakshmi21893@gmail.com,Bronze,"No. 118, Jalan B2",Kuala Lumpur,Wilayah Persekutuan,58000,2024-01-12
21894,Nurul Huda,binti Hassan,44,Female,015-5151205,1980-01-07,nurul21894@gmail.com,Bronze,"No. 19, Jalan B16",Johor Bahru,Johor,81100,2024-01-12
21895,Vanessa,Ng,29,Female,012-3899152,1994-09-27,vanessa21895@gmail.com,Bronze,"No. 216, Jalan D7",Kuala Lumpur,Wilayah Persekutuan,58000,2024-01-12
21896,Divya,a/p Ramasamy,35,Female,012-3015077,1988-11-22,divya21896@gmail.com,Silver,"No. 263, Jalan E7",Klang,Selangor,41200,2024-01-12
21897,Nurin,binti Abdullah,51,Female,011-7992126,1972-05-23,nurin21897@gmail.com,Silver,"No. 262, Jalan F8",Klang,Selangor,41200,2024-01-12
21898,Nadia,binti Osman,29,Female,019-2817658,1994-04-07,nadia21898@gmail.com,Platinum,"No. 86, Jalan F15",Puchong,Selangor,47180,2024-01-12
21899,Suhaila,binti Rahman,30,Female,017-4556857,1993-11-08,suhaila21899@gmail.com,Gold,"No. 208, Jalan G4",Gombak,Wilayah Persekutuan,68100,2024-01-12
21900,Zulkifli,bin Razak,57,Male,014-4802060,1966-10-21,zulkifli21900@gmail.com,Silver,"No. 216, Jalan C11",Kuala Lumpur,Wilayah Persekutuan,58000,2024-01-13
21901,Yasmin,binti Ismail,33,Female,015-4789701,1990-02-17,yasmin21901@gmail.com,Silver,"No. 30, Jalan G10",Petaling Jaya,Selangor,46100,2024-01-13
21902,Nurin,binti Zainal,32,Female,010-8957183,1991-06-14,nurin21902@gmail.com,Silver,"No. 90, Jalan C2",Petaling Jaya,Selangor,47300,2024-01-13
21903,Suhaila,binti Rahman,22,Female,010-5787249,2001-12-12,suhaila21903@gmail.com,Bronze,"No. 195, Jalan A8",Johor Bahru,Johor,80300,2024-01-13
21904,Wan Ying,Yeoh,52,Female,019-5004328,1971-08-03,wan21904@gmail.com,Gold,"No. 298, Jalan D3",Johor Bahru,Johor,80200,2024-01-13
21905,Rohani,binti Zainal,20,Female,014-7785530,2003-08-20,rohani21905@gmail.com,Silver,"No. 153, Jalan F18",Melaka,Melaka,75050,2024-01-13
21906,Kai Xin,Chin,24,Female,015-7281795,2000-01-01,kai21906@gmail.com,Bronze,"No. 50, Jalan D15",Shah Alam,Selangor,40400,2024-01-13
21907,Adam,bin Yusof,25,Male,019-7026277,1998-09-13,adam21907@gmail.com,Bronze,"No. 44, Jalan E8",Puchong,Selangor,47150,2024-01-13
21908,Suhaila,binti Rahman,35,Female,011-9148678,1988-06-26,suhaila21908@gmail.com,Silver,"No. 241, Jalan C5",Puchong,Selangor,47140,2024-01-13
21909,Amelia,binti Ismail,44,Female,015-9749074,1979-09-09,amelia21909@gmail.com,Bronze,"No. 100, Jalan D14",Kuala Lumpur,Wilayah Persekutuan,50000,2024-01-14
21910,Chloe,Liew,48,Female,018-3649947,1975-08-14,chloe21910@gmail.com,Bronze,"No. 19, Jalan B5",Kuala Lumpur,Wilayah Persekutuan,57000,2024-01-14
21911,Suresh,a/l Subramaniam,28,Male,015-2004435,1995-01-22,suresh21911@gmail.com,Bronze,"No. 134, Jalan F6",Kuala Lumpur,Wilayah Persekutuan,59000,2024-01-14
21912,Fatimah,binti Zainal,37,Female,019-3049791,1986-09-27,fatimah21912@gmail.com,Silver,"No. 142, Jalan D15",Petaling Jaya,Selangor,46000,2024-01-14
21913,Rohani,binti Osman,41,Female,013-3717607,1982-03-01,rohani21913@gmail.com,Bronze,"No. 211, Jalan E17",Petaling Jaya,Selangor,47400,2024-01-14
21914,Yee Ling,Cheah,57,Female,013-7957448,1966-12-19,yee21914@gmail.com,Bronze,"No. 40, Jalan E17",Petaling Jaya,Selangor,46000,2024-01-14
21915,Nabila,binti Hamid,37,Female,010-4628595,1986-02-19,nabila21915@gmail.com,Bronze,"No. 54, Jalan D8",Johor Bahru,Johor,81100,2024-01-14
21916,Kai Xin,Liew,47,Female,014-5037976,1976-12-30,kai21916@gmail.com,Silver,"No. 286, Jalan F14",George Town,Pulau Pinang,10050,2024-01-14
21917,Hafiz,bin Hamid,18,Male,011-9812119,2005-04-28,hafiz21917@gmail.com,Silver,"No. 296, Jalan B10",Melaka,Melaka,75300,2024-01-14
21918,Deepa,a/p Subramaniam,19,Female,010-5400644,2004-07-10,deepa21918@gmail.com,Silver,"No. 92, Jalan F5",Shah Alam,Selangor,40200,2024-01-14
21919,Deepa,a/p Krishnan,22,Female,018-3769249,2001-04-12,deepa21919@gmail.com,Gold,"No. 172, Jalan A10",Shah Alam,Selangor,40100,2024-01-14
21920,Fatimah,binti Osman,56,Female,019-6674861,1967-02-02,fatimah21920@gmail.com,Bronze,"No. 3, Jalan D10",Melaka,Melaka,75000,2024-01-14
21921,Anisa,binti Ismail,27,Female,015-5865574,1996-05-10,anisa21921@gmail.com,Bronze,"No. 168, Jalan F13",Kuala Lumpur,Wilayah Persekutuan,58000,2024-01-15
21922,Emily,Ng,38,Female,013-9930175,1985-02-17,emily21922@gmail.com,Silver,"No. 57, Jalan F18",Puchong,Selangor,47160,2024-01-15
21923,Anisa,binti Ismail,28,Female,014-4975152,1995-12-31,anisa21923@gmail.com,Silver,"No. 56, Jalan F20",George Town,Pulau Pinang,10100,2024-01-15
21924,Nabila,binti Rahman,38,Female,017-4179954,1985-06-02,nabila21924@gmail.com,Bronze,"No. 254, Jalan A16",Klang,Selangor,41050,2024-01-15
21925,Fatimah,binti Razak,46,Female,019-7727522,1977-09-19,fatimah21925@gmail.com,Bronze,"No. 236, Jalan B7",Klang,Selangor,41150,2024-01-15
21926,Anjali,a/p Maniam,40,Female,011-9595263,1983-04-05,anjali21926@gmail.com,Gold,"No. 264, Jalan B18",Johor Bahru,Johor,80200,2024-01-16
21927,Fatimah,binti Zainal,53,Female,011-9410899,1970-03-27,fatimah21927@gmail.com,Bronze,"No. 36, Jalan A7",George Town,Pulau Pinang,10200,2024-01-16
21928,Alia,binti Abdullah,25,Female,012-7405759,1998-04-28,alia21928@gmail.com,Platinum,"No. 8, Jalan C12",Melaka,Melaka,75150,2024-01-16
21929,Emily,Lim,49,Female,010-1274933,1974-03-27,emily21929@gmail.com,Bronze,"No. 21, Jalan D10",Klang,Selangor,41200,2024-01-16
21930,Nadia,binti Yusof,18,Female,015-8213804,2005-06-24,nadia21930@gmail.com,Bronze,"No. 84, Jalan B10",Puchong,Selangor,47130,2024-01-16
21931,Chloe,Wong,29,Female,011-7939699,1994-11-19,chloe21931@gmail.com,Bronze,"No. 19, Jalan E20",George Town,Pulau Pinang,10150,2024-01-16
21932,Alia,binti Razak,50,Female,018-4374998,1973-02-15,alia21932@gmail.com,Bronze,"No. 220, Jalan E8",Kuala Lumpur,Wilayah Persekutuan,55200,2024-01-17
21933,Aisyah,binti Hamid,23,Female,017-8580343,2000-08-28,aisyah21933@gmail.com,Bronze,"No. 67, Jalan A8",Setapak,Wilayah Persekutuan,53100,2024-01-17
21934,Nadia,binti Hamid,53,Female,014-7446031,1970-11-07,nadia21934@gmail.com,Silver,"No. 228, Jalan F13",Petaling Jaya,Selangor,47301,2024-01-17
21935,Nurin,binti Zainal,41,Female,019-2126446,1982-06-19,nurin21935@gmail.com,Silver,"No. 262, Jalan A14",Petaling Jaya,Selangor,47800,2024-01-17
21936,Siti,binti Razak,26,Female,019-6523363,1997-08-25,siti21936@gmail.com,Bronze,"No. 266, Jalan D1",Johor Bahru,Johor,80100,2024-01-17
21937,Jia Yi,Ong,27,Female,010-9915257,1996-04-03,jia21937@gmail.com,Bronze,"No. 257, Jalan C4",George Town,Pulau Pinang,10400,2024-01-17
21938,Mei Ling,Chan,19,Female,013-1827883,2004-09-05,mei21938@gmail.com,Bronze,"No. 125, Jalan B10",George Town,Pulau Pinang,10000,2024-01-17
21939,Nadia,binti Ahmad,29,Female,017-8133197,1994-10-07,nadia21939@gmail.com,Bronze,"No. 67, Jalan C15",Kuala Lumpur,Wilayah Persekutuan,59200,2024-01-18
21940,Mei Ling,Chan,44,Female,012-4876494,1979-08-23,mei21940@gmail.com,Bronze,"No. 244, Jalan D12",Kuala Lumpur,Wilayah Persekutuan,56000,2024-01-18
21941,Nurin,binti Ahmad,32,Female,011-9837859,1991-05-27,nurin21941@gmail.com,Silver,"No. 125, Jalan E17",Johor Bahru,Johor,81100,2024-01-18
21942,Pei Shan,Chan,40,Female,015-5370127,1983-06-28,pei21942@gmail.com,Bronze,"No. 294, Jalan C17",Puchong,Selangor,47100,2024-01-18
21943,Farah,binti Ismail,27,Female,019-3418677,1996-09-02,farah21943@gmail.com,Bronze,"No. 270, Jalan D9",Shah Alam,Selangor,40300,2024-01-18
21944,Grace,Chan,30,Female,012-7976577,1993-03-31,grace21944@gmail.com,Bronze,"No. 159, Jalan B7",Klang,Selangor,42100,2024-01-18
21945,Hui Min,Chua,26,Female,013-9640463,1997-01-24,hui21945@gmail.com,Bronze,"No. 177, Jalan G4",Selayang,Selangor,68000,2024-01-18
21946,Suhaila,binti Ismail,39,Female,015-8014472,1984-09-09,suhaila21946@gmail.com,Silver,"No. 6, Jalan G18",Ipoh,Perak,30200,2024-01-18
21947,Amelia,binti Ismail,30,Female,016-8756950,1993-12-01,amelia21947@gmail.com,Bronze,"No. 184, Jalan C18",Kuala Lumpur,Wilayah Persekutuan,58000,2024-01-19
21948,Yasmin,binti Osman,60,Female,012-3438134,1963-09-29,yasmin21948@gmail.com,Bronze,"No. 125, Jalan B2",Kuala Lumpur,Wilayah Persekutuan,55200,2024-01-19
21949,Emily,Tan,20,Female,016-1542710,2003-03-17,emily21949@gmail.com,Silver,"No. 193, Jalan E20",Kuala Lumpur,Wilayah Persekutuan,55200,2024-01-19
21950,Ling Ling,Ong,53,Female,015-2458479,1970-06-03,ling21950@gmail.com,Bronze,"No. 121, Jalan C16",Johor Bahru,Johor,80100,2024-01-19
21951,Nur Aina,binti Rahman,30,Female,012-1210254,1993-07-31,nur21951@gmail.com,Bronze,"No. 57, Jalan G6",Shah Alam,Selangor,40450,2024-01-19
21952,Rohani,binti Razak,46,Female,017-4616678,1977-02-21,rohani21952@gmail.com,Bronze,"No. 12, Jalan B4",Shah Alam,Selangor,40200,2024-01-19
21953,Siti,binti Hassan,54,Female,010-5411615,1969-11-18,siti21953@gmail.com,Bronze,"No. 175, Jalan B2",Shah Alam,Selangor,40170,2024-01-19
21954,Mei Ling,Teoh,49,Female,018-2097199,1975-01-09,mei21954@gmail.com,Platinum,"No. 46, Jalan E4",Klang,Selangor,41050,2024-01-19
21955,Shalini,a/p Muniandy,59,Female,015-6096700,1964-09-21,shalini21955@gmail.com,Silver,"No. 75, Jalan E14",Petaling Jaya,Selangor,47400,2024-01-19
