cus_ID,cus_first_name,cus_last_name,cus_gender,cus_phone,cus_DOB,cus_email,cus_loyalty_tier,cus_address_line,cus_city,cus_state,cus_postcode,cus_reg_date
70,Suhaila,binti Razak,Female,017-3081926,1973-11-30,suhaila70@gmail.com,Bronze,"No. 235, Jalan C2",Kuala Lumpur,Wilayah Persekutuan,59000,2016-05-10
71,Nadia,binti Hassan,Female,014-6928075,1977-12-23,nadia71@gmail.com,Gold,"No. 49, Jalan B15",Kuala Lumpur,Wilayah Persekutuan,50000,2016-05-11
72,Grace,Chua,Female,017-7074907,1984-04-10,grace72@gmail.com,Silver,"No. 203, Jalan E13",Bukit Jalil,Wilayah Persekutuan,58200,2016-05-12
73,Fatimah,binti Abdullah,Female,013-6646477,1993-09-21,fatimah73@gmail.com,Gold,"No. 123, Jalan E1",Kuala Lumpur,Wilayah Persekutuan,59200,2016-05-12
74,Balqis,binti Osman,Female,011-1200029,1959-05-27,balqis74@gmail.com,Bronze,"No. 90, Jalan G13",Kuala Lumpur,Wilayah Persekutuan,58000,2016-05-14
75,Emily,Tan,Female,012-4016161,1987-12-31,emily75@gmail.com,Silver,"No. 241, Jalan B18",Kuala Lumpur,Wilayah Persekutuan,58000,2016-05-14
76,Izzati,binti Hamid,Female,012-2812554,1991-09-30,izzati76@gmail.com,Bronze,"No. 146, Jalan B17",Kuala Lumpur,Wilayah Persekutuan,55100,2016-05-14
77,Pei Shan,Goh,Female,014-4640034,1996-03-27,pei77@gmail.com,Gold,"No. 149, Jalan G20",Kuala Lumpur,Wilayah Persekutuan,58000,2016-05-15
78,Amelia,binti Hassan,Female,018-5039464,1995-07-05,amelia78@gmail.com,Bronze,"No. 242, Jalan E5",Seremban,Negeri Sembilan,70000,2016-05-18
79,Zulkifli,bin Abdullah,Male,018-4475036,1973-01-19,zulkifli79@gmail.com,Bronze,"No. 236, Jalan C12",Wangsa Maju,Wilayah Persekutuan,53100,2016-05-19
80,Adam,bin Yusof,Male,017-7250365,1970-08-29,adam80@gmail.com,Bronze,"No. 230, Jalan A1",Kuala Lumpur,Wilayah Persekutuan,50000,2016-05-22
81,Yong Sheng,Cheah,Male,017-3771184,1997-03-19,yong81@gmail.com,Bronze,"No. 112, Jalan F13",Kuala Lumpur,Wilayah Persekutuan,50450,2016-05-24
82,Zarina,binti Ismail,Female,014-3268503,1983-06-18,zarina82@gmail.com,Bronze,"No. 240, Jalan D2",Kuala Lumpur,Wilayah Persekutuan,50480,2016-05-24
83,Balqis,binti Abdullah,Female,012-5735576,1966-06-11,balqis83@gmail.com,Bronze,"No. 237, Jalan D17",Kuala Lumpur,Wilayah Persekutuan,59000,2016-05-26
84,Hannah,binti Ahmad,Female,014-4409438,1967-07-01,hannah84@gmail.com,Bronze,"No. 173, Jalan F9",Kuala Lumpur,Wilayah Persekutuan,55200,2016-05-27
85,Anisa,binti Rahman,Female,011-5175790,1976-12-28,anisa85@gmail.com,Gold,"No. 210, Jalan C7",Kuala Lumpur,Wilayah Persekutuan,50000,2016-05-28
86,Amelia,binti Osman,Female,013-9829951,1958-09-30,amelia86@gmail.com,Bronze,"No. 278, Jalan B16",Setapak,Wilayah Persekutuan,53100,2016-05-28
87,Siti,binti Zainal,Female,015-7732890,1957-06-30,siti87@gmail.com,Silver,"No. 255, Jalan G20",Gombak,Wilayah Persekutuan,53100,2016-05-28
88,Anjali,a/p Subramaniam,Female,013-6417740,1967-06-26,anjali88@gmail.com,Gold,"No. 140, Jalan F5",Bukit Jalil,Wilayah Persekutuan,58200,2016-05-29
89,Ling Ling,Chong,Female,013-2272160,1985-01-04,ling89@gmail.com,Bronze,"No. 59, Jalan B12",Kuala Lumpur,Wilayah Persekutuan,50480,2016-05-31
90,Nurul Huda,binti Ahmad,Female,010-6313452,1956-08-05,nurul90@gmail.com,Gold,"No. 147, Jalan A11",Kuala Lumpur,Wilayah Persekutuan,55100,2016-06-01
91,Danial,bin Osman,Male,015-2963070,1964-04-07,danial91@gmail.com,Bronze,"No. 134, Jalan F19",Kuala Lumpur,Wilayah Persekutuan,55100,2016-06-01
92,Aisyah,binti Zainal,Female,012-8454670,1964-07-07,aisyah92@gmail.com,Bronze,"No. 61, Jalan G4",Kuala Lumpur,Wilayah Persekutuan,50480,2016-06-03
93,Hafiz,bin Ismail,Male,015-6836384,1985-12-16,hafiz93@gmail.com,Silver,"No. 215, Jalan C3",Kuala Lumpur,Wilayah Persekutuan,56000,2016-06-04
94,Alia,binti Rahman,Female,014-8929386,1966-02-19,alia94@gmail.com,Bronze,"No. 186, Jalan C19",Kuala Lumpur,Wilayah Persekutuan,59200,2016-06-05
95,Nur Aina,binti Rahman,Female,010-1845578,1975-01-27,nur95@gmail.com,Gold,"No. 136, Jalan A2",Melaka,Melaka,75150,2016-06-07
96,Izzati,binti Abdullah,Female,017-5496768,1967-04-16,izzati96@gmail.com,Silver,"No. 199, Jalan D2",Kuala Lumpur,Wilayah Persekutuan,59000,2016-06-07
97,Jasmine,Teoh,Female,017-5253977,1985-09-30,jasmine97@gmail.com,Silver,"No. 81, Jalan D1",Kuala Lumpur,Wilayah Persekutuan,58000,2016-06-08
98,Grace,Teoh,Female,014-4847995,1981-04-01,grace98@gmail.com,Bronze,"No. 112, Jalan C20",Kuala Lumpur,Wilayah Persekutuan,56000,2016-06-09
99,Zhi Wei,Sim,Male,013-3818994,1958-12-21,zhi99@gmail.com,Gold,"No. 128, Jalan E9",Gombak,Wilayah Persekutuan,53000,2016-06-10
100,Chloe,Chin,Female,012-4215234,1981-03-12,chloe100@gmail.com,Bronze,"No. 296, Jalan F16",Bukit Jalil,Wilayah Persekutuan,57000,2016-06-10
101,Chloe,Teoh,Female,018-3811779,1986-04-24,chloe101@gmail.com,Bronze,"No. 183, Jalan C7",Puchong,Selangor,47100,2016-06-11
102,Yasmin,binti Zainal,Female,011-4027341,1956-03-27,yasmin102@gmail.com,Bronze,"No. 89, Jalan C16",Kuala Lumpur,Wilayah Persekutuan,50450,2016-06-13
103,Kavitha,a/p Ramasamy,Female,015-5266169,1996-06-21,kavitha103@gmail.com,Platinum,"No. 214, Jalan F20",Kuala Lumpur,Wilayah Persekutuan,50480,2016-06-14
104,Ling Ling,Chin,Female,016-3544152,1967-08-22,ling104@gmail.com,Silver,"No. 154, Jalan C14",Kuala Lumpur,Wilayah Persekutuan,55100,2016-06-14
105,Nadia,binti Ahmad,Female,012-3644188,1983-05-24,nadia105@gmail.com,Silver,"No. 170, Jalan B1",Kuala Lumpur,Wilayah Persekutuan,58000,2016-06-15
106,Lakshmi,a/p Subramaniam,Female,015-5043661,1984-11-03,lakshmi106@gmail.com,Silver,"No. 121, Jalan E16",Puchong,Selangor,47120,2016-06-16
107,Nadia,binti Ahmad,Female,017-9417071,1980-04-26,nadia107@gmail.com,Silver,"No. 290, Jalan F9",Selayang,Selangor,68100,2016-06-16
108,Nabila,binti Abdullah,Female,015-5779323,1987-10-14,nabila108@gmail.com,Bronze,"No. 185, Jalan D7",Kuala Lumpur,Wilayah Persekutuan,55100,2016-06-17
109,Pei Shan,Lee,Female,018-5090804,1992-06-25,pei109@gmail.com,Bronze,"No. 223, Jalan F20",Kuala Lumpur,Wilayah Persekutuan,56000,2016-06-18
110,Ling Ling,Chin,Female,016-7261229,1968-03-19,ling110@gmail.com,Gold,"No. 204, Jalan A19",Kuala Lumpur,Wilayah Persekutuan,55200,2016-06-20
111,Xin Yi,Khoo,Female,017-8289354,1964-11-04,xin111@gmail.com,Silver,"No. 207, Jalan B7",Kuala Lumpur,Wilayah Persekutuan,55100,2016-06-21
112,Yasmin,binti Yusof,Female,015-9944076,1966-09-01,yasmin112@gmail.com,Silver,"No. 60, Jalan G17",Puchong,Selangor,47120,2016-06-21
113,Danial,bin Razak,Male,017-4836789,1988-04-06,danial113@gmail.com,Bronze,"No. 111, Jalan E6",Puchong,Selangor,47150,2016-06-21
114,Xin Yi,Cheah,Female,011-6547813,1958-11-28,xin114@gmail.com,Bronze,"No. 147, Jalan B5",Kuala Lumpur,Wilayah Persekutuan,50450,2016-06-22
115,Farah,binti Ismail,Female,017-9255324,1978-02-21,farah115@gmail.com,Bronze,"No. 136, Jalan B2",Kuala Lumpur,Wilayah Persekutuan,58000,2016-06-22
116,Farah,binti Hassan,Female,010-5516807,1960-09-27,farah116@gmail.com,Bronze,"No. 174, Jalan G5",Kuala Lumpur,Wilayah Persekutuan,58000,2016-06-23
117,Hannah,binti Hassan,Female,018-9694881,1978-12-31,hannah117@gmail.com,Bronze,"No. 9, Jalan B10",Kuala Lumpur,Wilayah Persekutuan,55100,2016-06-25
118,Anisa,binti Ismail,Female,011-3972357,1979-08-12,anisa118@gmail.com,Platinum,"No. 259, Jalan C1",Setapak,Wilayah Persekutuan,53100,2016-06-26
119,Nadia,binti Abdullah,Female,010-3044324,1977-12-19,nadia119@gmail.com,Bronze,"No. 209, Jalan E8",Puchong,Selangor,47110,2016-06-26
120,Divya,a/p Maniam,Female,019-5160397,1995-05-14,divya120@gmail.com,Bronze,"No. 232, Jalan E4",Kuala Lumpur,Wilayah Persekutuan,55200,2016-06-27
121,Deepa,a/p Muniandy,Female,016-6150054,1994-08-10,deepa121@gmail.com,Bronze,"No. 267, Jalan G14",Kuala Lumpur,Wilayah Persekutuan,50450,2016-06-28
122,Vanessa,Chua,Female,018-6836409,1986-11-06,vanessa122@gmail.com,Silver,"No. 59, Jalan D11",Kuala Lumpur,Wilayah Persekutuan,59000,2016-06-30
123,Anisa,binti Hassan,Female,019-9012692,1992-03-26,anisa123@gmail.com,Bronze,"No. 27, Jalan G14",Kuala Lumpur,Wilayah Persekutuan,55100,2016-06-30
124,Priya,a/p Krishnan,Female,013-1613288,1992-06-28,priya124@gmail.com,Gold,"No. 199, Jalan G2",Kuala Lumpur,Wilayah Persekutuan,59000,2016-07-01
125,Sze Min,Chin,Female,015-2804261,1995-08-27,sze125@gmail.com,Gold,"No. 244, Jalan C12",Kuala Lumpur,Wilayah Persekutuan,55100,2016-07-01
126,Zarina,binti Abdullah,Female,013-4174746,1984-07-17,zarina126@gmail.com,Bronze,"No. 115, Jalan D18",Kuala Lumpur,Wilayah Persekutuan,50480,2016-07-01
127,Alia,binti Zainal,Female,016-9854679,1980-04-05,alia127@gmail.com,Bronze,"No. 18, Jalan B15",Kuala Lumpur,Wilayah Persekutuan,57000,2016-07-03
128,Aina,binti Abdullah,Female,010-6870619,1968-06-23,aina128@gmail.com,Silver,"No. 185, Jalan D13",Gombak,Wilayah Persekutuan,53100,2016-07-03
129,Divya,a/p Krishnan,Female,011-8127528,1971-04-08,divya129@gmail.com,Bronze,"No. 230, Jalan D17",Klang,Selangor,41050,2016-07-03
130,Suhaila,binti Yusof,Female,017-3516761,1961-01-17,suhaila130@gmail.com,Silver,"No. 66, Jalan F4",Puchong,Selangor,47170,2016-07-03
131,Kavitha,a/p Maniam,Female,011-3062671,1972-06-11,kavitha131@gmail.com,Silver,"No. 166, Jalan C16",Puchong,Selangor,47150,2016-07-03
132,Meena,a/p Rajan,Female,014-5901323,1959-08-09,meena132@gmail.com,Bronze,"No. 33, Jalan E16",Puchong,Selangor,47100,2016-07-04
133,Arjun,a/l Muniandy,Male,012-3772633,1967-11-17,arjun133@gmail.com,Silver,"No. 215, Jalan A1",Kuala Lumpur,Wilayah Persekutuan,50000,2016-07-06
134,Aisyah,binti Ismail,Female,014-2974397,1976-02-16,aisyah134@gmail.com,Silver,"No. 171, Jalan C5",Puchong,Selangor,47140,2016-07-07
135,Hannah,binti Ahmad,Female,019-5901033,1956-09-11,hannah135@gmail.com,Bronze,"No. 160, Jalan A12",Puchong,Selangor,47190,2016-07-08
136,Emily,Lee,Female,014-9417067,1960-01-11,emily136@gmail.com,Platinum,"No. 165, Jalan C14",Gombak,Wilayah Persekutuan,53000,2016-07-09
137,Thivya,a/p Rajan,Female,014-9847795,1991-03-05,thivya137@gmail.com,Bronze,"No. 226, Jalan B7",Kuala Lumpur,Wilayah Persekutuan,55200,2016-07-09
138,Nabila,binti Osman,Female,015-5467608,1966-12-24,nabila138@gmail.com,Gold,"No. 82, Jalan C9",Kuala Lumpur,Wilayah Persekutuan,50450,2016-07-10
139,Nabila,binti Yusof,Female,010-3875464,1968-06-01,nabila139@gmail.com,Silver,"No. 37, Jalan G15",Kuala Lumpur,Wilayah Persekutuan,59200,2016-07-10
140,Amirul,bin Ismail,Male,011-4188236,1980-09-30,amirul140@gmail.com,Bronze,"No. 39, Jalan E6",Puchong,Selangor,47130,2016-07-10
141,Kai Xin,Foo,Female,011-1566390,1969-05-08,kai141@gmail.com,Silver,"No. 258, Jalan F8",Kuala Lumpur,Wilayah Persekutuan,55200,2016-07-13
142,Nabila,binti Rahman,Female,017-8733560,1989-12-29,nabila142@gmail.com,Silver,"No. 134, Jalan F7",Kuala Lumpur,Wilayah Persekutuan,59000,2016-07-13
143,Hannah,binti Zainal,Female,018-1258509,1968-06-18,hannah143@gmail.com,Silver,"No. 252, Jalan F19",Setapak,Wilayah Persekutuan,53300,2016-07-14
144,Nadia,binti Osman,Female,010-6239188,1979-09-01,nadia144@gmail.com,Bronze,"No. 90, Jalan A9",Kuala Lumpur,Wilayah Persekutuan,50000,2016-07-15
145,Li Wen,Teoh,Female,015-4550870,1955-01-14,li145@gmail.com,Silver,"No. 254, Jalan F7",Puchong,Selangor,47160,2016-07-15
146,Lakshmi,a/p Subramaniam,Female,011-5063064,1973-12-17,lakshmi146@gmail.com,Silver,"No. 239, Jalan F20",Puchong,Selangor,47190,2016-07-17
147,Li Wen,Khoo,Female,019-1147197,1958-01-06,li147@gmail.com,Platinum,"No. 5, Jalan E4",Puchong,Selangor,47180,2016-07-18
148,Fatimah,binti Abdullah,Female,014-3432692,1986-05-21,fatimah148@gmail.com,Silver,"No. 216, Jalan D20",Bukit Jalil,Wilayah Persekutuan,57100,2016-07-20
149,Thivya,a/p Muniandy,Female,015-2804759,1989-01-03,thivya149@gmail.com,Bronze,"No. 197, Jalan E11",Kuala Lumpur,Wilayah Persekutuan,55100,2016-07-20
150,Xin Yi,Teoh,Female,018-3284612,1962-02-02,xin150@gmail.com,Silver,"No. 14, Jalan C20",Kuala Lumpur,Wilayah Persekutuan,59000,2016-07-21
151,Aisyah,binti Razak,Female,015-1281337,1960-02-14,aisyah151@gmail.com,Bronze,"No. 83, Jalan E13",Puchong,Selangor,47160,2016-07-21
152,Jian Ming,Chin,Male,016-1915047,1985-10-26,jian152@gmail.com,Bronze,"No. 26, Jalan B11",Seremban,Negeri Sembilan,70450,2016-07-22
153,Suhaila,binti Abdullah,Female,019-4934102,1970-01-08,suhaila153@gmail.com,Gold,"No. 228, Jalan C9",Subang Jaya,Selangor,47600,2016-07-22
154,Amelia,binti Hassan,Female,013-7800761,1990-06-14,amelia154@gmail.com,Bronze,"No. 146, Jalan G4",Puchong,Selangor,47100,2016-07-23
155,Wan Ying,Sim,Female,017-4804056,1976-11-15,wan155@gmail.com,Silver,"No. 297, Jalan C14",Wangsa Maju,Wilayah Persekutuan,53100,2016-07-24
156,Deepa,a/p Krishnan,Female,017-8957391,1998-05-04,deepa156@gmail.com,Bronze,"No. 133, Jalan G5",Kuala Lumpur,Wilayah Persekutuan,57000,2016-07-25
157,Syafiq,bin Ismail,Male,012-3857059,1990-05-14,syafiq157@gmail.com,Bronze,"No. 82, Jalan G19",Subang Jaya,Selangor,47650,2016-07-25
